City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Escale,12.5855449,-16.2700411,21.12,88,0,3.09,SN,1741056633
Plains,33.1892387,-102.827274,14.25,12,0,8.05,US,1741056635
Plateia,37.81170815,23.383333271682464,10.3,60,0,11.89,GR,1741056636
Plaza,48.0247697,-101.9604636,-0.44,92,100,6.63,US,1741056637
نعل کنان,31.7428456,50.1793258,5.56,25,100,2.6,IR,1741056639
Na`l Shekan,35.810526,46.836998,-8.51,60,100,2.88,IR,1741056640
Chak No 58 NL,31.4879836,71.2234274,13.82,68,0,4.88,PK,1741056641
Chak No 57 NL,31.4941685,71.2228588,13.82,68,0,4.88,PK,1741056641
Naldurg,17.8149863,76.278965,28.19,21,65,4.99,IN,1741056644
Tienhaara,60.7547446,28.6486315,0.24,93,100,2.83,RU,1741056645
Селезнёво,60.757404,28.616835,0.24,93,100,2.83,RU,1741056646
Mei County,34.130278,107.835,3.64,89,90,2.68,CN,1741056648
My,50.40526,5.5726031,5.75,54,100,1.02,BE,1741056649
Maya / Drim,13.3608353,24.1741876,21.59,19,13,4.28,SD,1741056650
Co,60.29492475,26.0047019985007,0.81,96,100,7.26,FI,1741056652
Cö,30.0410958,93.6143839,-0.46,68,100,1.69,CN,1741056653
Có,12.0811553,-15.8116456,22.02,47,89,3.2,GW,1741056655
Ören,60.40460565,26.334372796342166,0.8,89,100,5.24,FI,1741056656
Yxkobben,60.25599335,25.993054238110208,0.81,96,100,8.0,FI,1741056657
Ve,6.4582222,10.1240058,20.88,51,44,1.21,CM,1741056659
Close,51.6901245,-9.5131483,8.43,84,3,2.69,IE,1741056660
Calle,-41.8563302,-73.9917857,14.72,84,100,10.89,CL,1741056661
Ua,-8.8613303,121.2037997,26.81,72,25,2.59,ID,1741056663
Уя,61.60574,34.663074,1.33,88,100,5.18,RU,1741056664
Pey,43.6302615,-1.2015629,8.5,93,100,1.54,FR,1741056666
Pê,11.2982766,-3.5350724,29.05,19,9,2.15,BF,1741056667
Peh,13.3967373,-3.9477794,27.26,20,35,2.28,ML,1741056668
Kutak,65.81773385,-65.88534025610258,-31.79,98,100,0.21,CA,1741056669
Bé,28.885157,96.6639812,6.99,77,56,0.87,CN,1741056671
Iri,42.5172999,43.5507921,-6.34,95,100,1.5,GE,1741056672
Ir,13.7105884,14.6087536,24.68,20,8,5.07,TD,1741056673
İriköy,38.103497,42.7370143,-3.51,99,100,1.38,TR,1741056675
Villa Nueva City,14.5308826,-90.5963325,20.26,86,20,2.06,GT,1741056676
Cheux,49.1660575,-0.5243876,0.92,100,74,1.54,FR,1741056678
Chaix,46.4333333,-0.8541667,5.9,73,78,3.26,FR,1741056679
Cieux,45.990892,1.0472334,8.53,61,0,2.57,FR,1741056680
Sé,47.2437674,16.5510878,3.18,66,34,0.95,HU,1741056681
Ro,44.9466518,11.7626169,4.2,88,6,1.72,IT,1741056683
Rho,45.528878,9.04156,5.69,85,2,0.13,IT,1741056684
Rots,49.2062576,-0.4775068,1.1,100,72,1.54,FR,1741056686
Roh,9.8415833,19.1269167,27.94,20,13,2.49,TD,1741056687
Ke,4.454561,6.915462,27.32,82,100,4.07,NG,1741056688
Bara 1,9.8075333,18.8513,27.78,20,18,2.09,TD,1741056690
Kyaku,33.915185,132.795569,6.79,79,75,1.54,JP,1741056691
Ké,6.5843055,2.5442684,27.02,86,98,3.93,BJ,1741056692
Dzilth-Na-O-Dith-Hle,36.3921169,-107.834908,-0.83,71,96,5.61,US,1741056694
Zdroje,53.3832497,14.6317114,2.95,87,100,3.35,PL,1741056695
دز,26.6397657,61.3082934,9.24,28,1,2.68,IR,1741056696
Da`iz,15.204776,47.8469889,14.63,80,0,3.74,YE,1741056697
Kolonia Duża,50.8238063,23.1292113,1.42,84,27,4.96,PL,1741056699
Križ,45.6632061,16.5204571,2.21,76,0,0.18,HR,1741056700
Croix,47.4444779,6.9551941,3.21,85,67,1.65,FR,1741056701
Krížová Ves,49.1890043,20.4872808,-2.5,77,36,1.31,SK,1741056703
Krzyż Wielkopolski,52.8796439,16.0141705,2.04,87,100,2.83,PL,1741056704
Roter Hügel,49.95098095,11.549758393375985,1.81,66,100,0.65,DE,1741056705
Hadaiq el Qubbah,30.0821784,31.2825387,14.42,82,0,2.06,EG,1741056707
Vlakfontein 238-Iq,-26.2031079,27.8368189,17.52,88,0,1.35,ZA,1741056708
Bayt al Fayiq,14.131079,44.386663,11.65,64,4,2.73,YE,1741056709
Bayt Fa'iq,14.18175,44.495435,9.17,68,4,2.2,YE,1741056710
Ad Daqa'iq,15.732518,43.956148,13.65,49,11,2.47,YE,1741056711
Ath,50.6288684,3.785318027789082,0.14,93,100,1.03,BE,1741056713
Atta,16.966622,44.766325,14.04,41,1,1.62,YE,1741056715
Shanghai,31.2322758,121.4692071,6.95,81,75,7.0,CN,1741056716
Huy,50.5180856,5.2408138,2.62,75,0,2.06,BE,1741056718
Huyi District,33.99969,108.587635,-1.06,98,99,2.75,CN,1741056719
Banhu,21.720449,110.7461679,28.98,58,15,7.13,CN,1741056720
Hu,-16.882147449999998,-151.46583532859745,28.25,71,44,1.37,FR,1741056721
Chandigarh,30.7334421,76.7797143,17.24,68,69,2.37,IN,1741056723
Chemin,46.9797328,5.3163113,0.06,93,100,0.0,FR,1741056724
Chase,38.355011,-98.3495111,14.19,90,85,12.19,US,1741056725
Berlin,52.5170365,13.3888599,1.3,82,0,2.57,DE,1741056727
Bern,46.9482713,7.4514512,-0.71,87,8,1.03,CH,1741056728
Beez,50.4687313,4.9219558,1.8,81,100,1.73,BE,1741056729
Be,30.1090948,89.5407092,-3.5,10,0,9.81,CN,1741056730
Graben,48.1890811,10.8220308,-0.56,81,100,1.6,DE,1741056732
Town of Grove,42.4761486,-77.9161549,-3.2,74,0,2.06,US,1741056733
Grove,36.5898616,-94.7685084,15.08,72,75,7.2,US,1741056734
Opatów,50.8017661,21.4238281,-0.53,88,47,3.84,PL,1741056736
Point,32.9315089,-95.8713542,18.35,82,100,2.68,US,1741056737
Stołczyn,53.49562,14.6080099,2.89,87,100,3.13,PL,1741056738
Port,52.41284245,-9.308041801282403,1.58,93,5,2.2,IE,1741056739
PT,40.5982882,8.736940254208038,9.23,92,87,1.73,IT,1741056741
Nou,45.8299398,24.2830582,-3.97,93,1,1.54,RO,1741056742
Makaprr,8.772887,-11.9451528,22.25,63,43,1.36,SL,1741056743
Makolor,8.7590264,-11.9553687,22.27,63,43,1.41,SL,1741056745
Mabando,8.7667532,-11.9398969,22.16,63,42,1.36,SL,1741056746
No,34.5620107,135.5707973,6.05,89,75,3.09,JP,1741056747
